./opcode/0/5caf1deb7bbc28723f2a1af9492344fd.vir.txt
A A A A  : 0.18555008210180624
5B 2 2 2  : 0.0008210180623973727
1 1 E 12  : 0.0008210180623973727
2 4 4 B  : 0.0008210180623973727
4 4 1 1  : 0.0008210180623973727
2 4 15 21  : 0.0008210180623973727
9 12 F F  : 0.0008210180623973727
6 7 1 4  : 0.0008210180623973727
F 6 7 1  : 0.0008210180623973727
4 F 2 2  : 0.0008210180623973727
4 F F F  : 0.0008210180623973727
10 2 4 10  : 0.0008210180623973727
2 4 10 1  : 0.0008210180623973727
2 B 1 12  : 0.0008210180623973727
1 1 4 B  : 0.0008210180623973727
55 5B E 12  : 0.0008210180623973727
E 4 2 4  : 0.0008210180623973727
6 7 E 4  : 0.0008210180623973727
4 A E 4  : 0.0008210180623973727
4 4 B 55  : 0.0008210180623973727
4 4 4 E  : 0.0008210180623973727
4 4 E 4  : 0.0008210180623973727
2 2 4 10  : 0.0008210180623973727
A F 10 1  : 0.0008210180623973727
2 B 1 2  : 0.0008210180623973727
4 2 2 B  : 0.0008210180623973727
